"voter_id","title","family_name","given_name","group","option","vote_event_id"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0002.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"7","Bc.","Roman","Kalabus","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0003.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"7","Bc.","Roman","Kalabus","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0004.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"7","Bc.","Roman","Kalabus","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0005.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"7","Bc.","Roman","Kalabus","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0006.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"7","Bc.","Roman","Kalabus","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"18","Bc.","Iveta","Táborská","ODS","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0007.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"2","BcA.","Michal","Berg","KOV","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"6","MUDr. ","Tomáš","Husa","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"7","Bc.","Roman","Kalabus","ODS","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"8","Bc.","Jiří","Kašpar","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"9","Mgr.","Petr","Kořenek","ČSSD","NOT_VOTING","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"10","Ing.","Jaromír","Kudlík","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"11","MUDr.","Pavol","Lambert","ANO2011","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"12","","Josef","Novosad","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"13","JUDr.","Stanislav","Pavelec","TOP09","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"14","RNDr.","Karel","Pavelka","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"15","Ing.","Tomáš","Pifka","STANV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"16","Ing. Ph.D.","Libor","Podešva","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"17","Mgr. ","Dalibor","Sedláček","ČSSD","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"18","Bc.","Iveta","Táborská","ODS","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"19","MUDr.","Róbert","Teleky","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"20","Mgr.","Taťána","Valentová Nersesjan","ČSSD","ABSTAINED","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"21","","Zdeněk","Vejpustek","KSČM","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0008.xml"
"1","MUDr.","Daniel","Bělov","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0009.xml"
"2","BcA.","Michal","Berg","KOV","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0009.xml"
"3","","Jiří","Čunek","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0009.xml"
"4","Mgr.","Simona","Hlaváčová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0009.xml"
"5","Ing.","Bohumila","Holeňová","KDU-ČSL","AYE","https://dl.dropboxusercontent.com/u/2424343/zeleni/zastupitelé/hlasovani/z201401/0009.xml"
