"id","name","group","wpca:d1","wpca:d2","r","result","opacity","color"
"1","Martin, Ander (Brno)","Brno","NaN","NaN",0.1,1,0.7,"blue"
"2","Michal, Berg (Vsetín)","Vsetín","NaN","NaN",0.1,1,0.7,"cyan"
"3","Jana, Drápalová (Brno)","Brno","NaN","NaN",0.1,1,0.7,"blue"
"4","Pavla, Brady (Opava)","Opava","NaN","NaN",0.1,1,0.7,"green"
"5","Matěj, Stropnický (Praha)","Praha","NaN","NaN",0.1,1,0.7,"red"
"6","Petr, Štěpánek (Praha)","Praha","NaN","NaN",0.1,1,0.7,"red"
"7","Tomáš, Průša (Praha)","Praha","NaN","NaN",0.1,1,0.7,"red"
